Day Number,Day of the Year,Date,"Air Temperature (24hr, K)",Air Temperature (24hr) strength,"Air Temperature (daytime, K)",Air Temperature (daytime) strength,"Relative Humidity (24hr, fraction)",Relative Humidity (24hr) strength,"Relative Humidity (daytime, fraction)",Relative Humidity (daytime) strength,"Pressure (24hr, kPa)",Pressure (24hr) strength,"Pressure (daytime, kPa)",Pressure (12hr) strength,"Soil Moisture (24hr, %)",Soil Moisture (24hr) strength,"Soil Moisture (daytime, %)",Soil Moisture (daytime) strength,"Net Radiation (24hr, W/m^2)",Net Radiation (24hr) strength,"Net Radiation (daytime, W/m^2)",Net Radiation (daytime) strength,"Ground Heat Flux (24hr, W/m^2)",Ground Heat Flux (24hr) strength,"Ground Heat Flux (daytime, W/m^2)",Ground Heat Flux (daytime) strength,"Latent Heat Flux (24hr, W/m^2)",Latent Heat Flux (24hr) strength,"Latent Heat Flux (daytime, W/m^2)",Latent Heat Flux (daytime) strength,"Sensible Heat Flux (24hr, W/m^2)",Sensible Heat Flux (24hr) strength,"Sensible Heat Flux (daytime, W/m^2)",Sensible Heat Flux (daytime) strength,Precipitation (m),Snowfall (m),Day Number,Day of the Year,Date
39,39,08-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,39,39,34008
40,40,09-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.008382,0,40,40,34009
41,41,10-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.003302,0,41,41,34010
42,42,11-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,42,42,34011
43,43,12-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,43,43,34012
44,44,13-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,44,44,34013
45,45,14-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.034036,0,45,45,34014
46,46,15-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.004572,0,46,46,34015
47,47,16-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,47,47,34016
48,48,17-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.000762,0,48,48,34017
49,49,18-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,49,49,34018
50,50,19-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,50,50,34019
51,51,20-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,51,51,34020
52,52,21-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,52,52,34021
53,53,22-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,53,53,34022
54,54,23-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,54,54,34023
55,55,24-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.016256,0,55,55,34024
56,56,25-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,56,56,34025
57,57,26-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,57,57,34026
58,58,27-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.004826,0,58,58,34027
59,59,28-Feb-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.010922,0,59,59,34028
60,60,01-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.002032,0,60,60,34029
61,61,02-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,61,61,34030
62,62,03-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,62,62,34031
63,63,04-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,63,63,34032
64,64,05-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,64,64,34033
65,65,06-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,65,65,34034
66,66,07-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,66,66,34035
67,67,08-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,67,67,34036
68,68,09-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,68,68,34037
69,69,10-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,69,69,34038
70,70,11-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,70,70,34039
71,71,12-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,71,71,34040
72,72,13-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,72,72,34041
73,73,14-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,73,73,34042
74,74,15-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,74,74,34043
75,75,16-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,75,75,34044
76,76,17-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.003048,0,76,76,34045
77,77,18-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.009144,0,77,77,34046
78,78,19-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,78,78,34047
79,79,20-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,79,79,34048
80,80,21-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.010922,0,80,80,34049
81,81,22-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,81,81,34050
82,82,23-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,82,82,34051
83,83,24-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,83,83,34052
84,84,25-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,84,84,34053
85,85,26-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,85,85,34054
86,86,27-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,86,86,34055
87,87,28-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,87,87,34056
88,88,29-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.032004,0,88,88,34057
89,89,30-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,89,89,34058
90,90,31-Mar-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,90,90,34059
91,91,01-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,91,91,34060
92,92,02-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,92,92,34061
93,93,03-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.009144,0,93,93,34062
94,94,04-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.001524,0,94,94,34063
95,95,05-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,95,95,34064
96,96,06-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.001016,0,96,96,34065
97,97,07-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,97,97,34066
98,98,08-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,98,98,34067
99,99,09-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,99,99,34068
100,100,10-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,100,100,34069
101,101,11-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,101,101,34070
102,102,12-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,102,102,34071
103,103,13-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.026924,0,103,103,34072
104,104,14-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.018034,0,104,104,34073
105,105,15-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,105,105,34074
106,106,16-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0.001016,0,106,106,34075
107,107,17-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,107,107,34076
108,108,18-Apr-93,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,9999,0,9999,0,-9999,0,-9999,0,0,0,108,108,34077
